tradeDate,buyReturn,holdReturn,netReturn,000001.SH,000300.SH,000905.SH,000016.SH
20170828,0.019646316,0.019657576,0.019651946,0.009346008,0.012374878,0.012298584,0.011169434
20170829,0.003064448,0.002888309,0.002976378,0.0007658,-0.002126694,-0.002557755,0.000974655
20170830,0.006834559,0.000476039,0.003655299,-0.000475168,-6.18E-05,0.007068634,-0.003978729
20170831,0.012790579,0.016537515,0.014664047,-0.000837326,-0.003183365,0.002628326,-0.004985809
20170901,0.003193211,0.004548001,0.003870606,0.001876831,0.002210617,0.008666992,-0.001662254
20170904,0.009258749,0.00507775,0.007168249,0.003702164,0.003936768,0.005847931,0.000453472
20170905,0.006626669,0.003346632,0.004986651,0.001400948,0.002971649,0.001093864,0.006824493
20170906,0.010730916,0.004722623,0.007726769,0.000316858,-0.001970291,0.005363464,-0.005683899
20170907,0.002338335,-0.00124718,0.000545577,-0.005874634,-0.005084991,-0.007343292,-0.008293152
20170908,0.012595755,0.001679368,0.007137562,-7.56E-05,-0.001013756,0.002376556,-0.001909256
20170911,0.020211333,0.021727644,0.020969489,0.003320694,-9.00E-05,0.011474609,-0.004444122
20170912,-0.00412991,-0.00988965,-0.00700978,0.000908852,0.003211975,-0.000844479,0.006652832
20170913,0.016722442,0.007981302,0.012351872,0.001379013,0.001216888,0.006076813,-0.001808167
20170914,0.004015966,0.004766015,0.00439099,-0.003759384,-0.003292084,-0.001824379,-0.005519867
20170915,-0.002992914,-0.004345464,-0.003669189,-0.005283356,0.000350237,-0.007514954,-0.00166893
20170918,0.018227911,0.010988971,0.014608441,0.002754211,0.003091812,0.007160187,0.002174377
20170919,0.000840757,-0.003559914,-0.001359579,-0.001788139,-0.002868652,-0.005012512,-0.001302719
20170920,0.020424574,0.01324504,0.016834807,0.002725601,0.002693176,0.008506775,-0.003019333
20170921,-0.004967058,-0.019057244,-0.012012151,-0.00243187,-0.00120163,-0.012016296,0.004852295
20170922,0.005627244,-0.00586295,-0.000117853,-0.001573563,-2.27E-05,-0.006053925,0.001309395
20170925,-0.009333127,-0.019953219,-0.014643173,-0.003274918,-0.005195618,-0.012504578,0.000596523
20170926,0.008886865,0.009755463,0.009321164,0.000608444,0.000782967,0.004756927,-0.000619411
20170927,0.016111303,0.021869675,0.018990489,0.000505447,0.000109494,0.00957489,-0.006507874
20170928,0.005090881,0.002518503,0.003804692,-0.001683235,0.000350237,-0.00233078,-0.000101447
20170929,0.006231768,0.005414612,0.00582319,0.002784729,0.003652573,0.005401611,0.004150391
20171009,0.005599284,0.008006411,0.006802847,0.007595062,0.011917114,0.011375427,0.007389069
20171010,0.01046322,0.006457813,0.008460517,0.002552032,0.001972198,0.004058838,0.001285553
20171011,-0.009261834,-0.01210998,-0.010685907,0.00156498,0.003295898,-0.005817413,0.004447937
20171012,0.007829964,5.98E-05,0.003944872,-0.000644684,0.002630234,-0.001106262,0.003997803
20171013,0.009674988,0.009386542,0.009530765,0.001306534,0.002056122,0.00761795,-0.001830101
20171016,-0.012417113,-0.0283714,-0.020394256,-0.003555298,-0.001927376,-0.013504028,0.004890442
20171017,0.015438444,-0.002313037,0.006562703,-0.001903534,-9.64E-05,-0.000946045,-0.001139641
20171018,-0.007287066,-0.004941368,-0.006114217,0.002891541,0.007949829,-0.007484436,0.010826111
20171019,0.001160884,-0.003941494,-0.001390305,-0.003437042,-0.003274918,-0.00945282,0.001098633
20171020,0.017272428,0.025282649,0.021277539,0.002515793,-0.00111866,0.010772705,-0.00667572
20171023,0.015887081,0.015315246,0.015601164,0.000607014,0.001005173,0.006290436,-0.001195908
20171024,-0.004739951,0.001769466,-0.001485242,0.002233505,0.007274628,-0.001476288,0.007049561
20171025,0.019059585,0.011389473,0.015224529,0.002552032,0.004432678,0.006797791,-0.000548363
20171026,0.014719466,0.009410058,0.012064762,0.003141403,0.004180908,0.003616333,0.00687027
20171027,0.000961117,-0.00368829,-0.001363586,0.00271225,0.007110596,-0.006164551,0.015602112
20171030,-0.020013009,-0.014181709,-0.017097359,-0.00774765,-0.003044128,-0.017959595,-0.001834869
20171031,0.016046052,0.016043532,0.016044792,0.00088644,-0.000749111,0.00743866,-0.00548172
20171101,0.006636965,0.004646181,0.005641573,0.000757694,-0.002519608,-0.001105309,-0.001543045
20171102,-0.008450859,-0.010424754,-0.009437807,-0.0037117,0.00012815,-0.010383606,0.001685143
20171103,-0.00109344,-0.011506196,-0.006299818,-0.003417969,-0.001110077,-0.008934021,0.002279282
20171106,0.017863173,0.023064034,0.020463603,0.004871368,0.007061005,0.013084412,-0.002944946
20171107,0.010274706,0.011325179,0.010799943,0.00749588,0.008293152,0.006271362,0.010650635
20171108,0.003954508,0.004961358,0.004457933,0.000552177,-0.00153923,0.001488686,-0.000708103
20171109,0.015042804,0.002672327,0.008857565,0.003610611,0.006889343,0.007568359,0.004611969
20171110,0.011975941,0.009574822,0.010775382,0.001422882,0.008834839,0.004516602,0.010368347
20171113,0.00794508,0.004668103,0.006306592,0.004417419,0.003929138,0.004516602,0.003902435
20171114,-0.006331824,-0.003757769,-0.005044796,-0.005302429,-0.006958008,-0.008499146,-0.004207611
